title,authors,publication_date,first_seen_date,relevance_decision,relevance_score,tags,sources,url,doi,arxiv_id,publication_year,publication_date_precision,publication_date_source,publication_date_confidence,effective_sort_date,quality_score,quality_recommendation,quality_confidence,quality_assessment_scope,quality_paper_type,quality_assessment_version,quality_rubric_version,quality_assessor_type,quality_assessor_model,quality_assessed_at,quality_summary,quality_strengths,quality_concerns,quality_missing_information,quality_score_cap,quality_score_cap_reason,combined_rank_score,quality_downranked,quality_suppressed,latest_revision_date,source_updated_date,first_seen_at
Bioinfoysis Technical Report,"Qingyang Shao, Xin Zhang, Zhouyang Yuan, Xianying Chen, Yujia Xiang, Zihao Yang, Tong Ye, Yangqi Zhang, Jiakang Xu, Xiaoqing Yan, Xuan Luo, Keyi Li, Enci Fan, Kai Kang, Zhuohan Liu, Xingyu Jin, Chunran Teng, Tao Li, Xinyu Lv, Minghui Wang, Wenfeng Li, Yidan Gao, Siyu Liu, Mingrui Luo, Zhu Liang, Guanren Qiao, Zhiping Xu",2026-09-03,2026-09-04,relevant,91,llm-agents; long-term-memory; agent-memory; memory-systems,arxiv,https://arxiv.org/abs/2609.03871v1,,2609.03871,2026,day,arxiv,high,2026-09-03,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,2026-09-03,2026-09-03,2026-09-04 11:22:45
Dynamic probabilistic decision networks,"V. I. Yukalov, E. P. Yukalova",2026-09-03,2026-09-04,relevant,91,long-term-memory; agent-memory; memory-systems; llm-agents,arxiv,https://arxiv.org/abs/2609.03632v1,,2609.03632,2026,day,arxiv,high,2026-09-03,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,2026-09-03,2026-09-03,2026-09-04 11:22:45
"Proactive Service Agents: A Unified Decision Framework, Methods, and Evaluation","Yan Tang, Tingyu Cao, Yuanbo Tang, Huaze Tang, Keer Hu",2026-09-03,2026-09-04,relevant,91,llm-agents; long-term-memory; agent-memory; memory-systems,arxiv,https://arxiv.org/abs/2609.03727v1,,2609.03727,2026,day,arxiv,high,2026-09-03,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,2026-09-03,2026-09-03,2026-09-04 11:22:45
CAPTURE: Disentangling Preference Drift from Memory Poisoning in Personalized LLM Agents,"S M Asif Hossain, Ruksat Khan Shayoni, Md Kishor Morol",2026-09-02,2026-09-03,relevant,100,llm-agents; long-term-memory; memory-augmented; agent-memory; memory-systems,openalex; arxiv,https://arxiv.org/abs/2609.02265,10.48550/arxiv.2609.02265,2609.02265,2026,day,openalex,medium,2026-09-02,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-09-05,2026-09-03 11:20:37
InsightSeg: Reusing Correction Insights for Guideline-Consistent Segmentation,"Vanshika Vats, Ashwani Rathee, James Davis",2026-09-02,2026-09-03,relevant,100,memory-types; parametric-memory; agent-memory; memory-systems; llm-agents,arxiv,https://arxiv.org/abs/2609.02002v1,,2609.02002,2026,day,arxiv,high,2026-09-02,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,2026-09-02,2026-09-02,2026-09-03 11:20:37
Bilevel Coordinated Reflection: A Game-Theoretic Approach to Multi-Agent LLM Systems,"Yihang Chen, Yuxiang Chen, Yuxuan Huang, Meng Fang, Weilin Luo, Jun Wang",2026-09-02,2026-09-03,relevant,91,memory-types; evaluation; agent-memory; memory-systems; llm-agents,arxiv,https://arxiv.org/abs/2609.02750v1,,2609.02750,2026,day,arxiv,high,2026-09-02,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,2026-09-02,2026-09-02,2026-09-03 11:20:37
MemoryLACE: Memory Lifecycle-Aware Consolidation and Evidence Retrieval,"Meriem Yacoubi, Pia Schmidt, Nenad Petrovic, Ahmed Frikha, Martin Kirchhoff, Alois Knoll",2026-09-02,2026-09-04,relevant,91,llm-agents; memory-systems; long-term-memory; agent-memory,arxiv,https://arxiv.org/abs/2609.03201v1,,2609.03201,2026,day,arxiv,high,2026-09-02,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,2026-09-02,2026-09-02,2026-09-04 11:22:45
ZenBrain: Neuroscience-Inspired Agent Memory Library for LLM Agents,Alexander Bering,2026-09-02,2026-09-04,relevant,91,agent-memory; llm-agents; memory-policy; memory-systems,openalex,https://doi.org/10.5281/zenodo.22260018,10.5281/zenodo.22260018,,2026,day,openalex,medium,2026-09-02,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-03,2026-09-04 11:23:06
FileVault: A Multi-Tenant Storage and Persistent Memory Infrastructure for LLM Agents,Sri Sai Lohith Bandreddy,2026-09-01,2026-09-03,relevant,91,agent-memory; llm-agents; long-term-memory; memory-systems,openalex,https://doi.org/10.5281/zenodo.22238358,10.5281/zenodo.22238358,,2026,day,openalex,medium,2026-09-01,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-02,2026-09-03 11:21:14
The Memory Trust Gap: Capability-Dependent Failures in Persistent-Memory Agents,"Jundong Hu, Shekar Ramachandran",2026-09-01,2026-09-03,relevant,91,long-term-memory; agent-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2609.01852,10.48550/arxiv.2609.01852,2609.01852,2026,day,openalex,medium,2026-09-01,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-05,2026-09-03 11:20:37
Transferable End-to-End Optimization for Indirect Long-Term Memory Poisoning in LLM Agents,"Chuanchao Zang, Jianing Wang, Wenyu Chen, Xiangtao Meng, Li Wang, Xinyu Gao, Zheng Li, Shanqing Guo",2026-09-01,2026-09-02,relevant,91,llm-agents; long-term-memory; agent-memory; memory-systems,openalex; arxiv,https://arxiv.org/abs/2609.00523,10.48550/arxiv.2609.00523,2609.00523,2026,day,openalex,medium,2026-09-01,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-04,2026-09-02 11:23:13
MutMem-V2: Cryptographically Authorized Mutation in Persistent Agent Memory Portable Verification and Reproducible Evidence,Walid Saidi,2026-09-01,2026-09-02,relevant,90,agent-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2609.01235,10.48550/arxiv.2609.01235,2609.01235,2026,day,openalex,medium,2026-09-01,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9000,False,False,,2026-09-04,2026-09-02 11:23:13
Reinforcement Learning Enhanced LLM Agents for Complex Vehicle Routing Problems,"Yi Chen, Zikang Yu, Jiahai Wang, Jinbiao Chen, Jianpeng Zhou, Zizhen Zhang",2026-09-01,2026-09-02,relevant,90,llm-agents; agent-memory; memory-systems,arxiv,https://arxiv.org/abs/2609.00859v1,,2609.00859,2026,day,arxiv,high,2026-09-01,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9000,False,False,2026-09-01,2026-09-01,2026-09-02 11:23:13
UTILMEM: Benchmarking Evidence Utilization in Long-Term Conversational Memory,"Peijun Qing, Fobo Shi, Soroush Vosoughi",2026-08-31,2026-09-01,relevant,100,long-term-memory; benchmark; evaluation; agent-memory; memory-systems; llm-agents,arxiv,https://arxiv.org/abs/2608.30508v1,,2608.30508,2026,day,arxiv,high,2026-08-31,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,2026-08-31,2026-08-31,2026-09-01 11:43:48
Learning What to Retain: Gated-Memory Routing for Efficient Collaboration in Multi-Agent LLM Systems,"Rakibul Hasan Rajib, Mengxing Zheng, Qian Lou",2026-08-31,2026-09-02,relevant,91,memory-policy; agent-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2609.00237,10.48550/arxiv.2609.00237,2609.00237,2026,day,openalex,medium,2026-08-31,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-04,2026-09-02 11:23:13
"Newer Is Not Truer: Three Presuppositions Behind the Recency Rule in Long-Term Agent Memory, and Why Retaining Both Records Relocates the Decision Rather Than Making It",Pranay M. Mahendrakar,2026-08-31,2026-08-31,relevant,91,agent-memory; long-term-memory; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22182350,10.5281/zenodo.22182350,,2026,day,openalex,medium,2026-08-31,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-08-31,2026-08-31 13:57:47
Relational Reinforcement Learning with Semantic Memory,Jincheng Zhang,2026-08-31,2026-09-01,relevant,91,memory-types; agent-memory; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22198408,10.5281/zenodo.22198408,,2026,day,openalex,medium,2026-08-31,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-01,2026-09-01 11:44:12
Understanding Stage-Wise Utility-Risk Trade-offs in LLM Agent Memory,"Chuanchao Zang, Zijian Cao, Xiangtao Meng, Jianing Wang, Wenyu Chen, Xinyu Gao, Li Wang, Zheng Li, Shanqing Guo",2026-08-31,2026-09-01,relevant,91,agent-memory; llm-agents; memory-systems; long-term-memory; evaluation,openalex; arxiv,https://arxiv.org/abs/2608.30177,10.48550/arxiv.2608.30177,2608.30177,2026,day,openalex,medium,2026-08-31,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-02,2026-09-01 11:43:48
Agent Zero Memory: Provenance-Aware Long-Term Memory for LLM Agents,"Ming Wu, Pengyuan Zhu",2026-08-30,2026-09-01,relevant,100,agent-memory; llm-agents; long-term-memory; memory-types; benchmark; memory-systems,openalex; arxiv,https://arxiv.org/abs/2608.29606,10.48550/arxiv.2608.29606,2608.29606,2026,day,openalex,medium,2026-08-30,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-09-02,2026-09-01 11:43:48
EMERGE-Policy: A Robot Mind Emerges Beyond a Single Policy,"Zhirui Fang, Qingchi Yu, Ziyang Chen, Longfei Li, Haoran Ma, Keru Zhou, Xinrun Xu, Samith Va, Yuxuan Hu, Peixuan Song, Qiang Du, Bin Qian, Yongkang Deng, Xin Li, Yezhen Wang, Zhe Li, Hao Luo, Shuyan Li, Ziwei Wang, Weijian Deng, Xiu Li",2026-08-30,2026-09-01,relevant,91,memory-policy; agent-memory; memory-systems; llm-agents,arxiv,https://arxiv.org/abs/2608.29896v1,,2608.29896,2026,day,arxiv,high,2026-08-30,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,2026-08-30,2026-08-30,2026-09-01 11:43:48
Memory-First Fact-Checking: A Knowledge-Graph-Grounded Multi-Agent System for Misinformation Detection,"Amelia Petrenciuc, Alexandru Lecu, Adrian Groza",2026-08-30,2026-09-01,relevant,91,memory-types; evaluation; agent-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2608.29617,10.48550/arxiv.2608.29617,2608.29617,2026,day,openalex,medium,2026-08-30,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-03,2026-09-01 11:43:48
AgentKG: Conversational Memory as a Knowledge Graph,Eric G. Suchanek,2026-08-30,2026-07-09,relevant,90,agent-memory; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22179117,10.5281/zenodo.22179117,,2026,day,openalex,medium,2026-08-30,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9000,False,False,,2026-08-31,2026-07-09 10:04:54
Selective Forgetting: A Graph-Based Memory Framework for Long-Term LLM Agents,"Theo Rusu, Sourena Khanzadeh, Manar Alalfi",2026-08-29,2026-09-01,relevant,99,agent-memory; llm-agents; benchmark; memory-systems,openalex; arxiv,https://arxiv.org/abs/2608.28978,10.48550/arxiv.2608.28978,2608.28978,2026,day,openalex,medium,2026-08-29,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9900,False,False,,2026-09-02,2026-09-01 11:43:48
Neural Turing Machines with Memory-Augmented Reinforcement Learning,Jincheng Zhang,2026-08-28,2026-08-30,relevant,90,agent-memory; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22136565,10.5281/zenodo.22136565,,2026,day,openalex,medium,2026-08-28,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9000,False,False,,2026-08-29,2026-08-30 11:59:33
GraphMemix: Query-Aware Evidence Forests for Long-Term Multimodal Agent Memory,"Geng Li, Yuhao Wang, Dong Li, Jianye Hao, Yuxin Peng",2026-08-27,2026-08-28,relevant,91,agent-memory; long-term-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2608.26983,10.48550/arxiv.2608.26983,2608.26983,2026,day,openalex,medium,2026-08-27,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-08-31,2026-08-28 18:46:03
Scoping Note: Shared features of agentic memory systems,"Ilan Strauss, Yisroel Shmaryahu Rosenblat",2026-08-27,2026-09-03,relevant,91,agent-memory; long-term-memory; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22234513,10.5281/zenodo.22234513,,2026,day,openalex,medium,2026-08-27,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-09-02,2026-09-03 11:21:14
Behavior2Trip: Towards Personalized Travel Planning via User Behavior Trajectory,"Zihao Cheng, Yingyu Shan, Hongru Wang, Zeming Liu, Xinyi Wang, Xiangrong Zhu, Yuhang Guo, Wei Lin, Yunhong Wang",2026-08-27,2026-08-28,relevant,90,agent-memory; memory-systems; llm-agents,arxiv,https://arxiv.org/abs/2608.26807v1,,2608.26807,2026,day,arxiv,high,2026-08-27,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9000,False,False,2026-08-27,2026-08-27,2026-08-28 18:46:03
Advantage-Driven Explicit Memory for Social Navigation,"Yeonsoo Park, Mattia Racca, Guillaume Bono, Steeven Janny, Gianluca Monaci, Tomi Silander, Christian Wolf",2026-08-26,2026-08-27,relevant,100,memory-policy; parametric-memory; agent-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2608.25610,,2608.25610,2026,day,openalex,medium,2026-08-26,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-08-30,2026-08-27 17:40:51
From Recall to Governance: A Typed Persistent Memory Architecture for Longitudinal Behavioral AI Systems,Teodor Minchev,2026-08-26,2026-08-28,relevant,100,agent-memory; long-term-memory; memory-policy; evaluation; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22106766,10.5281/zenodo.22106766,,2026,day,openalex,medium,2026-08-26,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-08-28,2026-08-28 18:46:24
"Layer-Conditional Emotional Weighting: Does Emotion-Aware Memory Consolidation Need to Be Layer-Specific, and Does It Transfer from Dialogue Personalization to Agentic Task Memory?",V. Pranav Abhinay Gupta,2026-08-26,2026-08-28,relevant,100,llm-agents; memory-systems; long-term-memory; memory-policy; evaluation; agent-memory,openalex,https://doi.org/10.64388/irev10i2-1722568,10.64388/irev10i2-1722568,,2026,day,openalex,medium,2026-08-26,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-08-28,2026-08-28 18:46:24
PolyMemDB: A Polyglot Database System for AI Memory Management,"Yu Wang, Jiaheng Lu",2026-08-26,2026-08-27,relevant,91,agent-memory; long-term-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2608.25577,10.48550/arxiv.2608.25577,2608.25577,2026,day,openalex,medium,2026-08-26,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-08-30,2026-08-27 17:40:51
VISA: Agentic Self-Evolving Data Synthesis for Multimodal Instruction Following,"Min Zeng, Guanxin Tan, Libin Cen, Yafei Wen, Rui Hu, Liuyang Bian, Xiaolong Chen, Xiaoxin Chen",2026-08-26,2026-08-27,relevant,91,long-term-memory; agent-memory; memory-systems; llm-agents,arxiv,https://arxiv.org/abs/2608.26013v2,,2608.26013,2026,day,arxiv,high,2026-08-26,70,promising,medium,partial_full_text,empirical_research,quality-v1,scholarly-rubric-v1,deterministic,,2026-09-03T11:21:55+00:00,"The available evidence suggests a credible contribution with some limitations. Automated score 70/100, medium confidence, based on partial full text.","The contribution is stated explicitly.; The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; Robustness or statistical analysis is reported.; Limitations or threats to validity are acknowledged.; Dataset documentation, quality control, licensing, or ethics is discussed.",,"No quantitative, user, expert, or operational evaluation was detected in the available text.",,,0.8827,False,False,2026-08-27,2026-08-27,2026-08-27 17:40:51
Rank-Bounded Memory: Self-Poisoning and Attribution Laundering in LLM Agents,Ivan Verbovoy,2026-08-25,2026-08-20,relevant,91,llm-agents; long-term-memory; agent-memory; memory-systems,openalex,https://doi.org/10.5281/zenodo.22086932,10.5281/zenodo.22086932,,2026,day,openalex,medium,2026-08-25,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-08-25,2026-08-20 07:09:05
"Intent Is Not a Property of the Record: Agent Memory Contamination, the Two Detector Families That Cover Disjoint Failures, and the Base Rate Nobody Has Measured",Pranay M. Mahendrakar,2026-08-25,2026-08-26,relevant,90,agent-memory; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22088220,10.5281/zenodo.22088220,,2026,day,openalex,medium,2026-08-25,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9000,False,False,,2026-08-25,2026-08-26 07:13:36
InjecMEM: Memory Injection Attack on LLM Agent Memory Systems,"Hanling Tian, Gengyu Zhang, Zeyang Sha, Qi Wang, Yuhang Liu, Zhehao Huang, Kun Yang, Xiaolin Huang",2026-08-24,2026-08-25,relevant,90,agent-memory; llm-agents; memory-systems; evaluation,openalex; arxiv,https://arxiv.org/abs/2608.23471,10.48550/arxiv.2608.23471,2608.23471,2026,day,openalex,medium,2026-08-24,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9000,False,False,,2026-08-29,2026-08-25 07:11:19
Wontopos Tablet 2: Measuring Multilingual and Multimodal Memory Retrieval Without Lexical Matching,Sunwoo Kim,2026-08-24,2026-08-26,relevant,72,long-term-memory; memory-policy; benchmark,openalex; arxiv,https://arxiv.org/abs/2608.23920,10.48550/arxiv.2608.23920,2608.23920,2026,day,openalex,medium,2026-08-24,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.7200,False,False,,2026-08-30,2026-08-26 07:13:35
CONTRAMEM: Learning Self-Evolving Procedural Memory from Contrasting Multi-Model Trajectories,"Zheyuan Deng, Binghang Lu, Hanqi Feng, Shirley Huang, Dianzhuo Wang, Yuanda Xu, Zhiwei Zhang, Yige Sun, Changhong Mou, Runyu Zhang, Yuexing Hao, Barnabas Poczos, Xiaomin Li",2026-08-23,2026-08-25,relevant,91,memory-types; agent-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2608.22533,10.48550/arxiv.2608.22533,2608.22533,2026,day,openalex,medium,2026-08-23,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-08-28,2026-08-25 07:11:19
HERO: Human-profile Enhanced Retrieval Optimization Framework for Long-term Agent Memory,"Yuanhua Lin, Yile Li, Zhiyuan Zhao, Jing Shang, Jian Sun",2026-08-23,2026-08-25,relevant,91,agent-memory; long-term-memory; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2608.22310,10.48550/arxiv.2608.22310,2608.22310,2026,day,openalex,medium,2026-08-23,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-08-29,2026-08-25 07:11:19
Living Memory and the Continuity of Artificial Identity,Alfredo Medina Hernandez,2026-08-22,2026-08-23,relevant,91,agent-memory; memory-types; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.22051578,10.5281/zenodo.22051578,,2026,day,openalex,medium,2026-08-22,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9100,False,False,,2026-08-22,2026-08-23 07:04:27
MEMORY Wins All: Indirect Bias Injection Attacks via Social Media Feeds,"Minjae Seo, Wonwoo Choi, Geonwoo Han, Taekyoung Kwon, Yongsu Kim, Sang Seo, Jaewon Noh, Hankyul Baek, Seongyun Seo, Myoungsung You",2026-08-22,2026-08-25,relevant,91,long-term-memory; agent-memory; memory-systems; llm-agents,arxiv,https://arxiv.org/abs/2608.22061v1,,2608.22061,2026,day,arxiv,high,2026-08-22,63,uncertain,medium,partial_full_text,systems_or_application,quality-v1,scholarly-rubric-v1,deterministic,,2026-08-30T12:00:07+00:00,"The available evidence is mixed or incomplete. Automated score 63/100, medium confidence, based on partial full text.","The contribution is stated explicitly.; The available text identifies data or a benchmark used by the work.; A baseline or comparison system is described.; User, expert, operational, or deployment evidence is described.; Limitations or threats to validity are acknowledged.",,,,,0.8736,False,False,2026-08-22,2026-08-22,2026-08-25 07:11:19
Memoria: A Cognitive-Fidelity Memory Architecture for AI Agents,"Xingyu Yang, Mengning Xu, Yanfu Chai, Donghua Yu",2026-08-21,2026-08-23,relevant,100,long-term-memory; benchmark; agent-memory; memory-systems; llm-agents,openalex,https://doi.org/10.5281/zenodo.20548774,10.5281/zenodo.20548774,,2026,day,openalex,medium,2026-08-21,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,1.0000,False,False,,2026-08-22,2026-08-23 07:04:27
DreamBench-SWE: A Multi-Session Memory-Hygiene Benchmark for Software Agents,Sarthak Singh,2026-08-21,2026-08-24,relevant,99,agent-memory; benchmark; memory-systems; llm-agents,openalex; arxiv,https://arxiv.org/abs/2608.20664,10.48550/arxiv.2608.20664,2608.20664,2026,day,openalex,medium,2026-08-21,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9900,False,False,,2026-08-29,2026-08-24 07:30:54
Can an Agent Memory System Track an Evolving State?,Ijaz Durrani,2026-08-21,2026-08-23,relevant,90,agent-memory; memory-systems; llm-agents,openalex,https://doi.org/10.13140/rg.2.2.33735.87208,10.13140/rg.2.2.33735.87208,,2026,day,openalex,medium,2026-08-21,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.9000,False,False,,2026-08-22,2026-08-23 06:00:55
Utility Under Attack: Agent Memory Poisoning and the Limits of Content Screening and Provenance Ranking,Arulnidhi Karunanidhi,2026-08-21,2026-08-24,relevant,87,agent-memory; long-term-memory; benchmark,openalex; arxiv,https://arxiv.org/abs/2608.21230,10.48550/arxiv.2608.21230,2608.21230,2026,day,openalex,medium,2026-08-21,,unknown,unknown,metadata_only,unclear,,,,,,,,,,,,0.8700,False,False,,2026-08-29,2026-08-24 07:30:54
